date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:50	15861/15861	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202025%2011:04:50%20GMT	https://gridx.codelayers.net/robots.txt		(from )
16:34:51	98011/98011	---MCZ	200	added ('OK')	text/html	etag:%2237504bbbd7a9ca9e28eb923c77a18834%22	https://gridx.codelayers.net/	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/index.html	(from )
16:34:51	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221101424-47e-627ee80fc9300%22	https://gridx.codelayers.net/templates/gridx/images/favicon.ico	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/templates/gridx/images/favicon.ico	(from https://gridx.codelayers.net/)
16:34:52	3973/3973	---M-Z	200	added ('OK')	text/css	etag:%22126074e-f85-6274f5fb71e80-gzip%22	https://gridx.codelayers.net/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from https://gridx.codelayers.net/)
16:34:53	70920/70920	---M-Z	200	added ('OK')	text/css	etag:%221262586-11508-62d7d21115335-gzip%22	https://gridx.codelayers.net/components/com_sppagebuilder/assets/css/animate.min.css?db5fbbc34070d36ea9b98958ab6f065c	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/components/com_sppagebuilder/assets/css/animate.min5287.css	(from https://gridx.codelayers.net/)
16:34:54	199257/199257	---M-Z	200	added ('OK')	text/css	etag:%221262597-30a59-62d7d211162d5-gzip%22	https://gridx.codelayers.net/components/com_sppagebuilder/assets/css/sppagebuilder.css?db5fbbc34070d36ea9b98958ab6f065c	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/components/com_sppagebuilder/assets/css/sppagebuilder5287.css	(from https://gridx.codelayers.net/)
16:34:55	1294/1294	---M-Z	200	added ('OK')	text/css	etag:%221262905-50e-62d7d21114b65-gzip%22	https://gridx.codelayers.net/components/com_sppagebuilder/assets/css/dynamic-content.css?db5fbbc34070d36ea9b98958ab6f065c	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/components/com_sppagebuilder/assets/css/dynamic-content5287.css	(from https://gridx.codelayers.net/)
16:34:56	5920/5920	---M-Z	200	added ('OK')	text/css	etag:%221262590-1720-62d7d21114f4d-gzip%22	https://gridx.codelayers.net/components/com_sppagebuilder/assets/css/magnific-popup.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/components/com_sppagebuilder/assets/css/magnific-popup.css	(from https://gridx.codelayers.net/)
16:34:57	194854/194854	---M-Z	200	added ('OK')	text/css	etag:%221101580-2f926-627ee80fc9300-gzip%22	https://gridx.codelayers.net/templates/gridx/css/bootstrap.min.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/templates/gridx/css/bootstrap.min.css	(from https://gridx.codelayers.net/)
16:34:58	5202/5202	---M-Z	200	added ('OK')	text/css	etag:%22122075b-1452-627ee80fc9300-gzip%22	https://gridx.codelayers.net/plugins/system/helixultimate/assets/css/system-j4.min.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/plugins/system/helixultimate/assets/css/system-j4.min.css	(from https://gridx.codelayers.net/)
16:35:00	131842/131842	---M-Z	200	added ('OK')	text/css	etag:%221260aa9-20302-6274f5fb71e80-gzip%22	https://gridx.codelayers.net/media/system/css/joomla-fontawesome.min.css?89132c	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/media/system/css/joomla-fontawesome.minf573.css	(from https://gridx.codelayers.net/)
16:35:00	79813/79813	---M-Z	200	added ('OK')	text/css	etag:%221101584-137c5-627ee80fc9300-gzip%22	https://gridx.codelayers.net/templates/gridx/css/template.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/templates/gridx/css/template.css	(from https://gridx.codelayers.net/)
16:35:01	3962/3962	---M-Z	200	added ('OK')	text/css	etag:%221101590-f7a-627ee80fc9300-gzip%22	https://gridx.codelayers.net/templates/gridx/css/presets/preset9.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/templates/gridx/css/presets/preset9.css	(from https://gridx.codelayers.net/)
16:35:02	45516/45516	---M-Z	200	added ('OK')	text/css	etag:%221101581-b1cc-6281c1f349900-gzip%22	https://gridx.codelayers.net/templates/gridx/css/custom.css	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/templates/gridx/css/custom.css	(from https://gridx.codelayers.net/)
16:35:04	113367/113367	---M--	200	added ('OK')	image/png	etag:%2212623d3-1bad7-5f862cc529180%22	https://gridx.codelayers.net/images/bg1.png	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/images/bg1.png	(from https://gridx.codelayers.net/)
16:35:05	7758/7758	---M-Z	200	added ('OK')	text/javascript	etag:%221260a10-1e4e-6274f5f5b9100-gzip%22	https://gridx.codelayers.net/media/system/js/core.min.js?2cb912	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/media/system/js/core.minaadb.js	(from https://gridx.codelayers.net/)
16:35:06	87533/87533	---M-Z	200	added ('OK')	text/javascript	etag:%221260740-155ed-6274f5e85f180-gzip%22	https://gridx.codelayers.net/media/vendor/jquery/js/jquery.min.js?3.7.1	/Users/shreyanshgupta/websites/Final_Portfolio_2025/gridx.codelayers.net/media/vendor/jquery/js/jquery.min8a0c.js	(from https://gridx.codelayers.net/)
